code,X,Y
967,20400,57100
472,21052,63481
473,21606,76282
935,18650,57450
958,18500,57900
1042,19500,56700
932,18500,57100
1342,19629,56100
968,19700,56000
966,20500,57200
961,19200,56600
1375,19343,56585
652,21088,74076
1275,23314,74908
679,19961,71533
1115,24441,77707
819,17571,62427
175,18807,69526
2052,22912,71816
1070,20166,62104
1220,22715,77148
182,18945,68642
1081,22782,77545
783,21284,63002
400,17754,60940
4011,27196,74774
3793,20712,68798
3786,24149,62074
1311,13619,56745
3759,20175,60676
113,22579,71719
1068,21997,77600
1123,19958,61869
446,18582,68581
4010,27028,78880
1046,14580,57199
2710,21449,71388
2024,20553,70835
1358,18867,57656
1108,22302,71878
680,19969,69743
31,16390,57980
1294,24212,76781
67,16202,60736
2400,18631,65963
1020,19274,71263
780,21457,62903
1771,20159,53577
2012,17492,62782
4013,27186,77661
403,15454,57936
882,21049,73529
3760,19947,67087
278,21104,74459
565,18192,65901
1852,21960,77510
1851,22660,77360
1853,23140,76950
1922,17260,63970
1921,16490,62930
1923,16810,64050
1924,16630,61620
1926,16370,60210
1937,18070,58120
1938,22400,57100
1939,19740,56740
1933,14570,57060
1935,15050,59540
1934,16080,57600
1907,,
1931,15720,58820
1929,17250,58920
1930,16790,59410
1866,20010,72840
1867,20400,72880
1873,20120,70620
1872,19320,70920
1871,19990,71630
1874,20290,69980
1909,18170,66000
1860,21040,74200
1862,20880,73220
1813,25450,75990
1814,25840,76640
1815,25490,76740
1848,23860,75990
1846,21800,76770
1847,22830,76610
1849,22140,75970
1850,23250,76540
1942,23400,56200
1836,21210,72800
1835,21150,73310
1805,24810,74680
1816,25280,75660
1817,26100,74110
1818,0,0
1843,23390,75980
1844,23270,75530
1845,23690,75930
1919,17690,61100
1917,18700,61370
1920,18880,59260
1918,18360,60440
1887,23110,74610
1890,20100,69770
1895,18330,67310
1911,17550,63200
1915,17660,62160
1913,18160,62200
1914,17800,61800
1855,21250,76910
1856,21310,76190
1858,21280,75480
1857,21280,75670
1859,21270,75860
1888,19330,66570
1886,19840,65740
1889,19210,66200
1903,17530,64760
1904,17550,65150
1896,18030,64000
1899,17210,63800
1898,18430,64140
1901,18320,63450
1897,17450,63800
1902,17210,64500
1892,0,0
1891,18910,64330
1893,18650,65340
1894,18500,65140
1908,18640,66110
1841,22660,75010
1840,21790,74200
1842,21830,74930
1905,0,0
1724,22589,75252
1865,23250,72360
1726,21051,77467
1727,20915,75418
1157,17820,62796
821,17822,60687
1330,23201,72759
785,21653,75698
850,19932,69934
804,19141,64920
797,18796,65440
965,19400,57520
338,16297,60477
716,19821,67981
77,25424,76979
294,22070,77423
1716,23433,72676
1126,19607,38816
49,23847,73998
2600,19423,38515
